humidity,temperature,tavg,tmin,tmax,prcp,tsun,weight
72.08386111111112,11.01928070652174,7.9,5.7,10.5,0.0,342,49.109659444444446
72.54627777777776,11.57625526871981,6.6,1.7,11.2,0.0,288,49.0541117361111
75.9237777777778,13.96123932669082,8.7,1.0,16.5,0.0,402,48.94353020833336
76.15171527777777,13.079030495169084,7.7,4.6,12.5,2.6,180,48.83714923611112
83.55777777777779,10.354058680555555,5.4,4.1,8.5,2.2,18,48.83859944444445
85.71404166666667,10.25522389794686,5.3,3.2,8.6,0.1,156,48.78578868055556
84.96403472222222,9.776312439613523,5.1,1.2,8.5,5.1,0,48.80949944444449
87.45196527777779,13.92908375603865,8.9,6.0,14.0,8.3,72,48.77778701388891
78.58217361111112,13.229694972826088,6.7,1.1,10.4,0.0,252,48.61769083333334
81.36616666666667,12.255011624396134,5.1,-0.7,11.6,0.0,348,48.596617986111134
78.1363888888889,12.799247146739134,5.8,0.0,12.4,0.0,642,48.44709354166667
78.90818055555555,12.645031174516909,5.2,-0.7,11.5,0.0,462,48.4451588888889
79.6541111111111,14.358208997584542,7.7,0.0,15.0,0.0,528,48.43288319444445
