date,temperature,tavg,tmax,tmin,prcp,tsun,humidity,weight,activity,dif_temperature,dif_weight,dif_tavg,dif_tmin,dif_tmax,dif_prcp,dif_tsun,dif_humidity
2018-05-12,29.446055555555542,15.5,20.9,9.8,0.0,467,91.0850624999999,81.65298999999999,LOW,-3.3542569444444617,1.0111104861111215,-2.6999999999999997,-0.5999999999999996,-3.5,0.0,-188,7.920277777777699
2018-05-13,31.18438194444443,18.2,25.1,11.8,0.0,814,89.88989583333338,82.9855573611111,HIGH,-2.150833333333363,2.3436778472222386,0.8999999999999986,1.4000000000000004,0.9000000000000021,0.0,171,4.811486111111151
2018-05-14,33.33521527777779,19.2,24.4,10.0,0.0,878,85.07840972222223,84.5547755972222,HIGH,-0.378472222222193,3.9128960833333366,2.5,0.0,1.3999999999999986,0.0,317,-2.365409722222253
2018-05-15,33.713687499999985,16.7,23.0,9.0,0.1,643,78.20555555555555,86.13474458333332,HIGH,-0.1852708333333623,5.4928650694444485,1.1999999999999993,-0.8000000000000007,1.5,0.1,0,-9.238263888888936
2018-05-16,34.011292968749984,18.4,24.2,12.2,0.0,655,72.08770350925535,76.18133418470089,LOW,0.0,0.0,1.6999999999999993,2.6999999999999997,1.1999999999999993,0.0,0,-12.990706212966884
2018-05-17,33.89895833333335,12.8,17.5,8.9,0.0,561,79.8987222222222,65.87582580103472,LOW,-0.2397638888888806,-5.552064643409707,-4.399999999999999,-0.0999999999999996,-5.600000000000001,0.0,-253,-0.1514375000000143
2018-05-18,34.13872222222223,12.5,15.7,9.5,0.7,151,87.44381944444449,66.4984170038125,LOW,-0.4619722222222293,-4.929473440631924,-4.5,0.5,-7.400000000000002,0.7,-727,7.545097222222282
2018-05-19,34.60069444444446,13.6,19.8,9.0,0.1,392,88.52986805555557,67.0912124451389,LOW,-0.2106250000000216,-4.336677999305536,-3.4000000000000004,0.0,-3.3000000000000007,0.1,-488,10.32431250000002
2018-05-20,34.81131944444448,15.4,21.5,7.0,0.0,898,80.05015972222222,67.92013731944445,HIGH,-0.0866874999999822,-3.50775312499998,-1.799999999999999,-2.0,-2.1000000000000014,0.0,18,2.256027777777774
2018-05-21,34.89800694444446,17.9,23.1,7.9,0.0,880,77.79413194444444,69.30620675000002,HIGH,-0.1171319444444236,-2.121683694444414,0.6999999999999993,-1.0,-0.5,0.0,0,0.0
2018-05-22,35.015138888888885,17.2,24.1,8.0,0.0,886,72.29323611111109,71.42789044444443,HIGH,-0.0119375000000161,-2.302255798611128,0.0,-1.0,0.5,0.0,6,-5.193680555555616
2018-05-23,35.09364583333332,17.0,23.6,7.8,0.0,903,71.69852777777777,73.73014624305556,HIGH,0.0,-2.0169654236111256,-0.3999999999999986,-1.2000000000000002,-0.5,0.0,23,-3.5176663093030527
2018-05-24,35.16226388888887,18.1,24.5,9.4,0.0,907,70.81195138888884,75.74711166666668,HIGH,0.0686180555555537,-1.6137360416666553,0.2000000000000028,0.0,0.1000000000000014,0.0,21,-1.907590277777814
2018-05-25,35.21142361111112,18.8,25.2,10.1,0.0,765,72.71954166666666,77.36084770833334,LOW,0.0995416666666884,-1.4886233333333223,0.6999999999999993,0.0,0.6999999999999993,0.0,-115,0.4263055555555723
2018-05-26,35.166437499999994,17.4,24.4,8.9,0.0,834,70.88077083333329,78.84947104166666,HIGH,0.0215208333333407,-1.2154615972222444,-1.400000000000002,-3.9,-0.8000000000000007,0.0,0,-0.8177569444444828
2018-05-27,35.0270763888889,16.3,21.1,12.8,5.8,436,77.4869166666667,80.0649326388889,LOW,-0.1351874999999722,-0.9065067993741138,-4.0,-1.3499999999999996,-5.799999999999997,5.8,-388,5.867310875565039
2018-05-28,35.16708506944448,21.2,27.8,14.7,0.0,453,75.21619408708082,80.97143943826302,HIGH,0.0006475694444887,-1.3842960478481103,0.8999999999999986,0.2999999999999989,0.9000000000000021,0.0,-312,4.335423253747536
2018-05-29,34.96478472222222,20.3,30.2,14.15,0.0,889,71.61960579110166,82.35573548611113,HIGH,-0.2023003472222626,-0.9521663888888696,0.0,-0.25,3.3000000000000007,0.0,124,0.7388349577683755
2018-05-30,35.111881944444434,22.6,28.5,14.7,0.0,824,70.77769572521123,83.307901875,HIGH,-0.0552031250000482,-0.7883365277777727,2.3000000000000007,0.2999999999999989,1.6000000000000014,0.0,74,0.0
2018-05-31,35.14491666666665,21.1,28.5,14.4,0.1,765,69.32830246710685,84.09623840277777,LOW,-0.0424583333333643,-0.679796319444435,0.8000000000000007,0.0,1.6000000000000014,0.1,42,-1.139253088448669
2018-06-01,35.243743055555555,21.4,26.9,14.6,0.0,750,69.54611760363505,84.7760347222222,LOW,0.0563680555555379,-0.8801903472222392,1.099999999999998,0.1999999999999993,0.0,0.0,0,-0.6910784639403573
2018-06-02,35.284131944444454,19.1,23.8,14.7,0.2,262,70.46755555555552,85.65622506944445,HIGH,0.0967569444444365,-0.5528097916666752,-0.8999999999999986,0.5499999999999989,-3.099999999999998,0.2,-503,0.4607189759602335
2018-06-03,35.29984027777778,18.4,22.2,13.6,0.0,122,70.00683657959529,86.43538986111113,LOW,0.1124652777777655,0.2240286111111231,-1.6000000000000014,0.0,-4.699999999999999,0.0,-643,0.4607189759602335
2018-06-04,35.18737500000002,16.9,20.5,12.2,0.0,113,70.23719606757541,86.54606111111109,LOW,0.0,0.2746529861110929,-3.1000000000000014,-1.4000000000000004,-6.399999999999999,0.0,-637,0.9088936004685592
2018-06-05,35.195493055555545,17.6,24.3,10.8,0.0,723,65.95245833333327,86.271408125,LOW,0.0081180555555278,-0.1639817361111397,-2.299999999999997,-2.799999999999999,-1.099999999999998,0.0,0,0.0
2018-06-06,35.14274305555556,18.6,24.9,10.1,0.0,939,60.50636805555555,86.20903486111112,LOW,-0.0266319444444107,-0.3370262499999654,-0.5,-3.0,0.0,0.0,475,-1.3094791666666057
2018-06-07,35.169374999999974,20.0,27.7,11.6,0.0,936,56.66465972222221,86.21136125000001,LOW,0.0266319444444107,-0.519783947708973,1.3999999999999986,-1.0,2.8000000000000007,0.0,472,-3.8417083333333366
